,Unnamed: 0,id,value,date,year-month
143,143,Pizza,30.0,2025-05-01,2025-05
427,427,Ice cream,21.0,2025-05-02,2025-05
252,252,Feijoada,24.99,2025-05-02,2025-05
148,148,Pizza,30.0,2025-05-04,2025-05
145,145,Pizza,30.0,2025-05-04,2025-05
54,54,Lamen,19.99,2025-05-05,2025-05
478,478,braces,100.0,2025-05-05,2025-05
253,253,Feijoada,24.99,2025-05-06,2025-05
518,518,netflix,35.0,2025-05-06,2025-05
424,424,Ice cream,21.0,2025-05-07,2025-05
150,150,Pizza,30.0,2025-05-07,2025-05
146,146,Pizza,59.99,2025-05-07,2025-05
355,355,Carangueijo,50.0,2025-05-08,2025-05
352,352,Carangueijo,50.0,2025-05-08,2025-05
354,354,Carangueijo,50.0,2025-05-08,2025-05
51,51,Lamen,34.99,2025-05-10,2025-05
57,57,Lamen,19.99,2025-05-10,2025-05
419,419,Ice cream,21.0,2025-05-11,2025-05
53,53,Lamen,34.99,2025-05-11,2025-05
421,421,Ice cream,21.0,2025-05-14,2025-05
459,459,health insurance,250.0,2025-05-15,2025-05
258,258,Feijoada,24.99,2025-05-15,2025-05
358,358,Carangueijo,50.0,2025-05-15,2025-05
425,425,Ice cream,21.0,2025-05-16,2025-05
420,420,Ice cream,21.0,2025-05-17,2025-05
426,426,Ice cream,21.0,2025-05-17,2025-05
142,142,Pizza,30.0,2025-05-17,2025-05
56,56,Lamen,34.99,2025-05-17,2025-05
257,257,Feijoada,24.99,2025-05-17,2025-05
147,147,Pizza,30.0,2025-05-18,2025-05
255,255,Feijoada,24.99,2025-05-18,2025-05
50,50,Lamen,19.99,2025-05-20,2025-05
52,52,Lamen,19.99,2025-05-20,2025-05
254,254,Feijoada,24.99,2025-05-20,2025-05
428,428,Ice cream,21.0,2025-05-20,2025-05
251,251,Feijoada,24.99,2025-05-22,2025-05
353,353,Carangueijo,50.0,2025-05-22,2025-05
356,356,Carangueijo,50.0,2025-05-22,2025-05
359,359,Carangueijo,50.0,2025-05-22,2025-05
351,351,Carangueijo,50.0,2025-05-22,2025-05
149,149,Pizza,30.0,2025-05-25,2025-05
140,140,Pizza,30.0,2025-05-25,2025-05
55,55,Lamen,19.99,2025-05-25,2025-05
256,256,Feijoada,24.99,2025-05-26,2025-05
141,141,Pizza,59.99,2025-05-26,2025-05
422,422,Ice cream,21.0,2025-05-27,2025-05
429,429,Ice cream,21.0,2025-05-29,2025-05
357,357,Carangueijo,50.0,2025-05-29,2025-05
423,423,Ice cream,21.0,2025-05-29,2025-05
144,144,Pizza,30.0,2025-05-31,2025-05
