,id,value,date
0,Carangueijo,50.0,2024-01-04
1,netflix,25.0,2024-01-06
2,Pizza,30.0,2024-01-06
3,Lamen,19.99,2024-01-13
4,Lamen,19.99,2024-01-15
5,Pizza,59.99,2024-01-15
6,Pizza,30.0,2024-01-15
7,Carangueijo,50.0,2024-01-18
8,Carangueijo,50.0,2024-01-18
9,Carangueijo,50.0,2024-01-18
10,Feijoada,24.99,2024-01-19
11,gym,70.0,2024-01-20
12,Ice cream,21.0,2024-01-21
13,Lamen,34.99,2024-01-25
14,Feijoada,32.0,2024-01-26
15,Pizza,59.99,2024-01-28
16,Feijoada,32.0,2024-01-30
17,Carangueijo,50.0,2024-02-01
18,netflix,25.0,2024-02-06
19,Feijoada,24.99,2024-02-06
20,Lamen,19.99,2024-02-07
21,Carangueijo,50.0,2024-02-08
22,Pizza,59.99,2024-02-10
23,Lamen,19.99,2024-02-12
24,Pizza,30.0,2024-02-14
25,Feijoada,24.99,2024-02-18
26,Ice cream,21.0,2024-02-18
27,gym,70.0,2024-02-20
28,Lamen,34.99,2024-02-21
29,Carangueijo,50.0,2024-02-22
30,Carangueijo,50.0,2024-02-22
31,Pizza,30.0,2024-02-23
32,Pizza,30.0,2024-02-25
33,Bike,750.0,2024-02-26
34,Feijoada,24.99,2024-02-29
35,Pizza,30.0,2024-03-05
36,Lamen,19.99,2024-03-05
37,netflix,25.0,2024-03-06
38,Feijoada,24.99,2024-03-08
39,Pizza,30.0,2024-03-09
40,Pizza,59.99,2024-03-09
41,Carangueijo,50.0,2024-03-14
42,Carangueijo,50.0,2024-03-14
43,Lamen,19.99,2024-03-15
44,gym,70.0,2024-03-20
45,Carangueijo,50.0,2024-03-21
46,Feijoada,32.0,2024-03-21
47,Carangueijo,50.0,2024-03-21
48,Ice cream,21.0,2024-03-25
49,Pizza,59.99,2024-03-28
50,Feijoada,24.99,2024-03-29
51,Lamen,19.99,2024-03-29
52,Lamen,19.99,2024-04-01
53,netflix,25.0,2024-04-06
54,Feijoada,32.0,2024-04-09
55,Ice cream,21.0,2024-04-11
56,Carangueijo,50.0,2024-04-11
57,Lamen,19.99,2024-04-14
58,gym,70.0,2024-04-20
59,Ice cream,21.0,2024-04-23
60,Carangueijo,50.0,2024-04-25
61,Pizza,30.0,2024-04-25
62,Carangueijo,50.0,2024-04-25
63,Carangueijo,50.0,2024-04-25
64,Feijoada,24.99,2024-04-26
65,Pizza,30.0,2024-04-28
66,Carangueijo,50.0,2024-05-02
67,Pizza,30.0,2024-05-02
